"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101230035,1,3,7,1,2,0,1,0,999,1,1,1,3,26705616.31357600,23,1,110,100,999,6,21,1,0,999,1,60,1101.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,35,140,690,575,0,0,0
2023,20230101230077,2,3,12,1,3,0,1,0,999,1,1,1,7,3700731.964243000,57,2,120,100,999,6,40,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,0,0,0,90,145,520,670,0,0,0
2023,20230101230105,3,3,8,1,2,0,1,0,999,1,1,1,1,8207137.309899000,80,2,100,100,999,4,30,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,30,120,825,465,0,0,0
2023,20230101230522,4,1,14,2,1,0,1,0,999,2,1,1,1,2654852.950064000,71,1,100,100,999,1,30,5,99,999,99,9999,99999.99,1,69,2,100,100,30,3,999,99999.98,1,0,0,15,0,0,45,30,825,420,0,0,0
2023,20230101230524,5,3,15,4,1,1,1,2,2,2,1,1,5,13765863.41115000,40,1,131,100,20,1,41,1,0,999,1,40,1923.07,1,41,2,131,100,40,3,999,99999.98,1,0,120,0,0,0,240,0,0,590,0,0,490
2023,20230101230556,6,4,14,2,1,0,1,0,999,2,1,1,5,8775143.987787000,80,2,100,100,999,1,40,1,0,999,2,9995,99999.99,1,85,1,100,100,41,4,999,99999.98,1,0,0,0,60,0,75,25,710,570,0,0,0
2023,20230101230565,7,2,13,2,1,0,1,0,999,2,1,1,7,5929077.849733000,56,2,100,100,999,1,21,1,0,999,1,35,700.0,1,51,1,100,100,43,1,45,865.0,1,0,0,685,0,0,55,40,185,475,0,0,0
2023,20230101230623,8,3,13,3,1,0,1,0,999,3,1,1,7,15216586.86895100,18,2,100,100,999,6,17,1,0,999,2,12,137.5,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,67,0,300,654,112,0,307
2023,20230101230625,9,2,15,1,1,0,1,0,999,1,1,1,3,6489881.899478000,68,1,100,100,999,4,40,1,0,999,1,60,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,60,0,55,270,120,515,0,0,420
2023,20230101230628,10,2,12,1,2,0,1,0,999,1,1,1,3,19375771.36745000,21,1,100,100,999,6,31,1,0,999,1,50,2884.61,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,115,60,30,570,65,0,600
2023,20230101230644,11,4,13,1,1,0,1,0,999,1,1,1,6,5591895.489492000,70,2,100,100,999,4,43,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,45,80,795,520,0,0,0
2023,20230101230650,12,2,15,3,1,1,1,1,12,2,1,1,3,11796317.16231500,24,2,100,100,999,1,40,1,0,999,1,40,1923.07,1,35,1,100,100,40,1,45,1420.09,1,0,17,0,0,0,0,60,335,510,114,0,404
2023,20230101230663,13,2,15,2,1,0,1,0,999,2,1,1,1,7486126.253648000,53,1,100,100,999,1,40,1,0,999,1,50,1120.0,1,52,2,100,100,40,1,40,807.69,1,0,0,0,0,0,30,180,330,900,0,0,0
2023,20230101230670,14,3,15,5,2,1,1,2,2,3,1,1,7,10750416.91764900,35,2,100,100,999,1,32,1,0,999,2,20,240.0,1,38,1,100,100,32,1,40,640.0,1,0,30,0,0,0,45,142,155,540,0,0,485
2023,20230101230683,15,3,12,2,1,0,1,0,999,2,1,1,6,15647853.93621800,72,2,100,100,999,1,32,5,99,999,99,9999,99999.99,1,80,1,100,100,30,4,999,99999.98,1,0,0,0,0,0,35,15,615,660,115,0,0
2023,20230101230690,16,2,14,3,1,0,1,0,999,3,1,1,1,8220007.325285000,37,2,100,210,999,1,30,1,0,999,2,32,99999.99,1,42,2,100,100,21,3,999,99999.98,1,0,0,0,0,0,65,155,275,770,175,0,0
2023,20230101230712,17,1,7,1,1,0,1,0,999,1,1,1,5,8800700.177196000,85,2,100,100,999,6,32,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,80,0,90,375,180,540,0,0,0
2023,20230101230713,18,2,16,5,1,1,1,3,5,2,1,1,1,5837951.767206000,38,1,100,100,999,1,40,1,0,999,1,56,2500.0,1,39,2,100,100,41,1,40,99999.98,1,0,0,0,0,0,45,455,370,570,0,0,0
