"REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","DAY","WT06","AGE","SEX","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK","RACE4","sp_race4"
"South","$20,000 to $24,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Tuesday",26705616.313576,23,"Male","Never married","HS diploma, no college","Employed - at work","No",NA,"Full time",60,1101,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,35,140,690,575,0,0,0,"Black/African American","Other / Mixed"
"South","$50,000 to $59,999",1,"No cash rent","No","House, apartment, flat",0,NA,1,"Saturday",3700731.964243,57,"Female","Never married","College degree +","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"Has difficulty","No",0,0,0,0,90,145,520,670,0,0,0,"Other / Mixed","Other / Mixed"
"South","$25,000 to $29,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Sunday",8207137.309899,80,"Female","Divorced","Some college","Not in labor force",NA,NA,NA,NA,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,30,120,825,465,0,0,0,"White","Other / Mixed"
"Northeast","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Sunday",2654852.950064,71,"Male","Married - spouse present","Some college","Not in labor force",NA,NA,NA,NA,NA,"Spouse present",69,"Female","Some college","Not employed",NA,NA,"No difficulty","No",0,15,0,0,45,30,825,420,0,0,0,"White","White"
"South","$100,000 to $149,999",4,"Owned by household member","Yes","House, apartment, flat",2,2,2,"Thursday",13765863.41115,40,"Male","Married - spouse present","College degree +","Employed - at work","No",NA,"Full time",40,1923.07,"Spouse present",41,"Female","College degree +","Not employed",NA,NA,"No difficulty","No",120,0,0,0,240,0,0,590,0,0,490,"Asian","Asian"
"West","$75,000 to $99,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Thursday",8775143.987787,80,"Female","Married - spouse present","College degree +","Employed - at work","No",NA,"Part time",NA,NA,"Spouse present",85,"Male","College degree +","Retired",NA,NA,"No difficulty","No",0,0,60,0,75,25,710,570,0,0,0,"White","White"
"Midwest","$60,000 to $74,999",2,"Owned by household member","No","House, apartment, flat",0,NA,2,"Saturday",5929077.849733,56,"Female","Married - spouse present","HS diploma, no college","Employed - at work","No",NA,"Full time",35,700,"Spouse present",51,"Male","College degree +","Employed - at work",45,865,"No difficulty","No",0,685,0,0,55,40,185,475,0,0,0,"White","White"
"South","$60,000 to $74,999",3,"Owned by household member","No","House, apartment, flat",0,NA,3,"Saturday",15216586.868951,18,"Female","Never married","Less than HS diploma","Employed - at work","No",NA,"Part time",12,137.5,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,67,0,300,654,112,0,307,"White","Other / Mixed"
"Midwest","$100,000 to $149,999",1,"Owned by household member","No","House, apartment, flat",0,NA,1,"Tuesday",6489881.899478,68,"Male","Divorced","College degree +","Employed - at work","No",NA,"Full time",60,NA,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,60,0,55,270,120,515,0,0,420,"White","Other / Mixed"
"Midwest","$50,000 to $59,999",1,"Rented for cash","No","House, apartment, flat",0,NA,1,"Tuesday",19375771.36745,21,"Male","Never married","Some college","Employed - at work","No",NA,"Full time",50,2884.61,"No spouse/partner present",NA,NA,NA,NA,NA,NA,"No difficulty","No",0,0,0,0,115,60,30,570,65,0,600,"White","Other / Mixed"
